DateTime,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakOsPias,MpKrakSwoszo,MpKrakWadow,MpKrakZloRog
2019-01-08 02:00:00,81.2767,45.3447,68.3365,58.3627,38.7795,92.2108,67.1667
2019-01-08 03:00:00,75.0997,33.7426,59.1335,70.4779,37.0056,84.0121,60.0917
2019-01-08 04:00:00,108.44,41.9277,51.0141,65.6915,25.0333,67.3709,86.7458
2019-01-08 05:00:00,125.555,35.3805,44.815,70.5161,30.4205,62.6578,88.4462
2019-01-08 06:00:00,114.984,43.0177,43.9886,67.9471,24.7813,54.0093,96.6395
2019-01-08 07:00:00,113.437,54.3526,46.1877,74.1724,18.4511,44.2739,93.615
2019-01-08 08:00:00,96.9671,57.963,52.1844,68.6238,16.2127,36.3,89.9008
2019-01-08 09:00:00,86.428,29.2513,50.6169,68.1241,25.908,40.554,89.3538
2019-01-08 10:00:00,106.815,19.7556,55.4441,86.3832,12.1521,42.0064,82.2596
2019-01-08 11:00:00,63.4928,11.6765,41.5912,46.4745,11.5219,38.8955,71.5402
2019-01-08 12:00:00,20.7935,9.28699,11.083,22.4443,14.0304,23.9785,30.8314
2019-01-08 13:00:00,22.4953,10.1111,14.0504,18.6347,12.4004,20.8114,23.6959
2019-01-08 14:00:00,25.632,17.5774,16.3137,15.6455,11.3995,18.9468,13.7268
2019-01-08 15:00:00,28.8771,17.1937,15.5111,13.7928,13.6533,13.7277,15.5943
2019-01-08 16:00:00,31.6156,31.1699,21.1378,24.9499,13.619,15.7329,26.0013
2019-01-08 17:00:00,30.144,25.4723,29.1685,30.7598,14.1028,46.5321,24.0961
2019-01-08 18:00:00,36.6063,19.0148,21.9635,22.4875,15.4224,37.2839,22.2498
2019-01-08 19:00:00,36.9089,32.4388,21.0482,28.8777,11.9113,25.309,27.0989
2019-01-08 20:00:00,35.7332,23.2381,23.2729,18.3415,21.5506,47.0849,33.7988
2019-01-08 21:00:00,37.258,22.9882,28.5782,19.692,17.7969,60.9993,32.1681
2019-01-08 22:00:00,34.3698,20.6459,34.1648,17.5306,16.0997,58.4788,32.5499
2019-01-08 23:00:00,27.4394,15.8366,27.8289,23.1744,13.842,41.3317,26.4237
2019-01-09 00:00:00,24.2661,13.6809,14.4674,14.1586,17.7817,37.3495,24.2591
2019-01-09 01:00:00,26.8375,12.9866,10.8861,13.8489,10.5815,24.5048,16.1159
2019-01-09 02:00:00,26.003,10.935,12.0985,10.558,18.4911,17.2198,12.5143
2019-01-09 03:00:00,25.3615,7.1734,15.3598,18.6227,9.42724,28.7882,10.9198
2019-01-09 04:00:00,24.3781,7.64249,13.7556,18.1956,10.9056,19.057,11.5128
2019-01-09 05:00:00,25.8682,14.2618,15.5689,12.5444,10.766,14.4959,15.1425
2019-01-09 06:00:00,31.627,17.4726,17.4525,16.3283,18.7845,20.8729,17.3538
2019-01-09 07:00:00,34.3087,22.7348,20.9235,18.0524,19.9618,18.4909,19.3692
2019-01-09 08:00:00,35.0147,19.7413,19.9034,20.8606,15.3357,23.9173,16.9536
2019-01-09 09:00:00,43.1513,19.9988,21.5907,16.3381,23.0849,19.2814,27.3488
2019-01-09 10:00:00,50.5822,36.6277,23.182,17.4659,30.1237,25.7332,18.2348
2019-01-09 11:00:00,52.1003,28.3387,25.1747,28.4984,29.8881,21.5246,30.6014
2019-01-09 12:00:00,53.9026,30.5793,24.5047,25.263,26.0114,32.2812,30.7931
2019-01-09 13:00:00,49.1853,41.6879,20.5895,17.0563,39.267,43.7855,24.2936
2019-01-09 14:00:00,40.3321,32.2423,28.1983,20.2706,38.038,37.3764,33.0956
2019-01-09 15:00:00,45.7375,31.1501,26.7932,33.1958,28.1973,50.7714,26.404
2019-01-09 16:00:00,56.5877,44.1943,40.5172,48.1414,43.7437,38.5834,29.5961
2019-01-09 17:00:00,64.7083,35.2686,36.6135,47.4033,52.4024,58.27,39.2617
2019-01-09 18:00:00,84.1606,48.1445,47.9427,57.1032,55.1187,85.0813,55.4595
2019-01-09 19:00:00,101.272,84.9362,65.7113,73.8009,64.6297,84.0344,61.614
